Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Bosnia and Herzegovina,Europe,205130,6252.41,98,2.99,17,9654,294.26,5,0.15,0,Community transmission
Libya,Eastern Mediterranean,199526,2903.76,5621,81.8,1384,3227,46.96,29,0.42,4,Community transmission
Kenya,Africa,187525,348.75,2988,5.56,566,3716,6.91,76,0.14,11,Community transmission
Myanmar,South-East Asia,184375,338.86,23165,42.58,4320,3685,6.77,321,0.59,64,Clusters of cases
Zambia,Africa,170456,927.2,12624,68.67,1453,2672,14.53,401,2.18,54,Community transmission
Nigeria,Africa,168256,81.62,638,0.31,146,2122,1.03,2,0,0,Community transmission
Republic of Korea,Western Pacific,165344,322.5,6796,13.26,1316,2036,3.97,12,0.02,2,Clusters of cases
North Macedonia,Europe,155760,7476.31,71,3.41,19,5486,263.32,1,0.05,0,Sporadic cases
Algeria,Africa,143652,327.59,3577,8.16,620,3798,8.66,72,0.16,12,Community transmission
Puerto Rico,Americas,140434,4908.82,376,13.14,22,2553,89.24,4,0.14,1,Community transmission
Latvia,Europe,137797,7223.3,297,15.57,50,2535,132.88,15,0.79,1,Community transmission
Kyrgyzstan,Europe,137058,2100.77,9178,140.68,1319,2083,31.93,64,0.98,10,Clusters of cases
Norway,Europe,132572,2469.87,1064,19.82,211,796,14.83,2,0.04,0,Clusters of cases
Albania,Europe,132565,4606.47,42,1.46,8,2456,85.34,0,0,0,Clusters of cases
Mongolia,Western Pacific,131962,4025.33,13999,427.02,1510,655,19.98,77,2.35,9,Clusters of cases
Afghanistan,Eastern Mediterranean,131586,338.02,9430,24.22,1473,5561,14.29,513,1.32,84,Community transmission
Estonia,Europe,131396,9887.01,273,20.54,39,1270,95.56,1,0.08,0,Clusters of cases
China,Western Pacific,119141,8.1,497,0.03,47,5566,0.38,58,0,3,Clusters of cases
Uzbekistan,Europe,115011,343.63,3363,10.05,482,764,2.28,22,0.07,4,Clusters of cases
Kosovo[1],Europe,107784,6002.45,59,3.29,8,2254,125.52,6,0.33,2,Community transmission
Namibia,Africa,101001,3975,8132,320.04,1193,1812,71.31,226,8.89,70,Community transmission
Montenegro,Europe,100403,15986.16,98,15.6,0,1619,257.78,6,0.96,0,Clusters of cases
Finland,Europe,97651,1767.35,1471,26.62,302,976,17.66,3,0.05,0,Clusters of cases
Ghana,Africa,96971,312.08,1057,3.4,263,797,2.56,1,0,0,Community transmission
Uganda,Africa,85581,187.1,3498,7.65,602,2033,4.44,906,1.98,21,Community transmission
Mozambique,Africa,84922,271.7,7717,24.69,1437,939,3,55,0.18,5,Community transmission
Cyprus,Europe,81581,9187,5248,590.99,993,380,42.79,6,0.68,0,Clusters of cases
El Salvador,Americas,80932,1247.76,2166,33.39,697,2428,37.43,41,0.63,8,Community transmission
Cameroon,Africa,80858,304.6,0,0,0,1324,4.99,0,0,0,Community transmission
Botswana,Africa,75388,3205.78,3945,167.76,1411,1202,51.11,44,1.87,14,Community transmission
Maldives,South-East Asia,74848,13846.79,774,143.19,0,213,39.4,0,0,0,Clusters of cases
Luxembourg,Europe,71879,11480.29,848,135.44,131,819,130.81,1,0.16,0,Community transmission
Singapore,Western Pacific,62668,1071.19,79,1.35,16,36,0.62,0,0,0,Sporadic cases
Zimbabwe,Africa,62383,419.72,11162,75.1,2156,2029,13.65,221,1.49,56,Community transmission
Cambodia,Western Pacific,58057,347.25,6673,39.91,954,825,4.93,197,1.18,27,Sporadic cases
Jamaica,Americas,50497,1705.31,331,11.18,41,1108,37.42,28,0.95,7,Community transmission
Côte d’Ivoire,Africa,48739,184.77,361,1.37,46,317,1.2,2,0.01,1,Community transmission
Rwanda,Africa,45950,354.77,6036,46.6,911,521,4.02,73,0.56,14,Community transmission
Senegal,Africa,44790,267.5,1527,9.12,354,1184,7.07,16,0.1,1,Community transmission
Democratic Republic of the Congo,Africa,43333,48.38,1980,2.21,314,973,1.09,40,0.04,4,Community transmission
Madagascar,Africa,42431,153.23,237,0.86,18,930,3.36,21,0.08,1,Community transmission
Angola,Africa,39593,120.47,628,1.91,102,925,2.81,22,0.07,0,Community transmission
Malawi,Africa,37983,198.55,1624,8.49,427,1227,6.41,28,0.15,9,Community transmission
Sudan,Eastern Mediterranean,36805,83.94,55,0.13,0,2760,6.29,0,0,0,Clusters of cases
Trinidad and Tobago,Americas,33920,2423.74,1127,80.53,115,918,65.6,71,5.07,15,Community transmission
Cabo Verde,Africa,32883,5914.35,289,51.98,56,289,51.98,2,0.36,0,Community transmission
Réunion,Africa,31845,3556.86,1262,140.96,0,244,27.25,7,0.78,0,Community transmission
Australia,Western Pacific,30905,121.2,262,1.03,44,910,3.57,0,0,0,Clusters of cases
Malta,Europe,30851,5995.56,218,42.37,96,420,81.62,0,0,0,Clusters of cases
French Guiana,Americas,28199,9441.14,571,191.17,118,156,52.23,10,3.35,2,Community transmission
Syrian Arab Republic,Eastern Mediterranean,25735,147.05,184,1.05,0,1893,10.82,14,0.08,0,Community transmission
Gabon,Africa,25133,1129.2,79,3.55,0,161,7.23,2,0.09,0,Community transmission
Viet Nam,Western Pacific,24810,25.49,7083,7.28,1425,104,0.11,23,0.02,2,Clusters of cases
Guinea,Africa,23999,182.74,212,1.61,54,174,1.32,2,0.02,0,Community transmission
Suriname,Americas,22788,3884.55,1056,180.01,207,559,95.29,37,6.31,7,Community transmission
Mauritania,Africa,21405,460.36,511,10.99,102,490,10.54,1,0.02,0,Community transmission
Guyana,Americas,20645,2624.75,590,75.01,77,484,61.53,15,1.91,2,Community transmission
Eswatini,Africa,19662,1694.76,578,49.82,140,685,59.04,7,0.6,1,Community transmission
Mayotte,Africa,19425,7120.21,13,4.77,0,174,63.78,0,0,0,Community transmission
Haiti,Americas,19220,168.56,483,4.24,-9,471,4.13,28,0.25,0,Community transmission
French Polynesia,Western Pacific,19026,6773.04,19,6.76,4,144,51.26,2,0.71,0,Sporadic cases
Guadeloupe,Americas,17684,4419.63,145,36.24,0,270,67.48,3,0.75,0,Community transmission
Papua New Guinea,Western Pacific,17308,193.45,70,0.78,26,179,2,5,0.06,4,Community transmission
Seychelles,Africa,16679,16959.34,822,835.82,114,68,69.14,11,11.18,0,Community transmission
Somalia,Eastern Mediterranean,14995,94.35,49,0.31,0,775,4.88,0,0,0,Community transmission
Mali,Africa,14456,71.38,27,0.13,1,528,2.61,3,0.01,1,Community transmission
Togo,Africa,14176,171.23,214,2.58,36,133,1.61,3,0.04,1,Community transmission
Tajikistan,Europe,14125,148.1,171,1.79,0,98,1.03,5,0.05,0,Pending
Andorra,Europe,14050,18184.17,132,170.84,29,127,164.37,0,0,0,Community transmission
Burkina Faso,Africa,13505,64.61,20,0.1,1,168,0.8,0,0,0,Community transmission
Belize,Americas,13444,3381.05,193,48.54,35,330,82.99,1,0.25,0,Community transmission
Bahamas,Americas,13024,3311.94,289,73.49,59,252,64.08,6,1.53,0,Clusters of cases
Congo,Africa,12790,231.78,95,1.72,0,167,3.03,1,0.02,0,Community transmission
Martinique,Americas,12396,3303.27,110,29.31,0,98,26.11,0,0,0,Community transmission
Curaçao,Americas,12354,7528.66,12,7.31,4,126,76.79,0,0,0,Community transmission
Lesotho,Africa,11646,543.63,102,4.76,8,335,15.64,6,0.28,0,Community transmission
Djibouti,Eastern Mediterranean,11609,1175,7,0.71,0,155,15.69,0,0,0,Clusters of cases
Aruba,Americas,11161,10453.7,23,21.54,17,107,100.22,0,0,0,Community transmission
South Sudan,Africa,10891,97.3,25,0.22,0,117,1.05,0,0,0,Community transmission
Timor-Leste,South-East Asia,9710,736.47,349,26.47,53,25,1.9,1,0.08,0,Community transmission
Equatorial Guinea,Africa,8790,626.52,48,3.42,15,122,8.7,0,0,0,Community transmission
Fiji,Western Pacific,8661,966.15,3812,425.24,721,48,5.35,24,2.68,6,Sporadic cases
Benin,Africa,8227,67.86,28,0.23,0,105,0.87,1,0.01,0,Community transmission
Guam,Western Pacific,8156,4832.47,55,32.59,14,140,82.95,0,0,0,Clusters of cases
Central African Republic,Africa,7142,147.87,1,0.02,0,98,2.03,0,0,0,Community transmission
Yemen,Eastern Mediterranean,6934,23.25,11,0.04,0,1364,4.57,3,0.01,0,Community transmission
Nicaragua,Americas,6819,102.94,215,3.25,0,192,2.9,1,0.02,0,Community transmission
Iceland,Europe,6675,1833.12,21,5.77,11,30,8.24,0,0,0,Community transmission
Eritrea,Africa,6242,176.01,214,6.03,18,28,0.79,3,0.08,1,Community transmission
Gambia,Africa,6183,255.85,104,4.3,67,183,7.57,2,0.08,1,Community transmission
Sierra Leone,Africa,5867,73.55,215,2.7,0,108,1.35,6,0.08,0,Community transmission
Burundi,Africa,5608,47.16,114,0.96,23,8,0.07,0,0,0,Community transmission
Niger,Africa,5529,22.84,37,0.15,3,194,0.8,1,0,0,Community transmission
Saint Lucia,Americas,5363,2920.59,67,36.49,0,85,46.29,1,0.54,0,Community transmission
San Marino,Europe,5092,15003.83,0,0,0,90,265.19,0,0,0,Community transmission
Liberia,Africa,4994,98.74,690,13.64,0,135,2.67,6,0.12,0,Community transmission
Chad,Africa,4953,30.15,2,0.01,-19,174,1.06,0,0,0,Community transmission
Gibraltar,Europe,4385,13015.35,37,109.82,6,94,279.01,0,0,0,Clusters of cases
Barbados,Americas,4108,1429.49,26,9.05,0,47,16.35,0,0,0,Community transmission
Jersey,Europe,4047,3754.31,502,465.69,99,69,64.01,0,0,0,Community transmission
Comoros,Africa,4046,465.27,33,3.79,10,146,16.79,0,0,0,Community transmission
United States Virgin Islands,Americas,3970,3801.77,91,87.14,28,32,30.64,2,1.92,0,Community transmission
Guinea-Bissau,Africa,3921,199.24,52,2.64,15,70,3.56,1,0.05,0,Community transmission
Liechtenstein,Europe,3147,8121.92,12,30.97,0,58,149.69,0,0,0,Sporadic cases
Sint Maarten,Americas,2632,6137.77,14,32.65,2,34,79.29,1,2.33,0,Community transmission
Monaco,Europe,2603,6632.86,23,58.61,4,33,84.09,0,0,0,Sporadic cases
Bermuda,Americas,2521,4048.3,7,11.24,0,33,52.99,0,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,2469,33.94,325,4.47,69,3,0.04,0,0,0,Sporadic cases
Turks and Caicos Islands,Americas,2425,6263.24,0,0,0,18,46.49,0,0,0,Clusters of cases
Saint Martin,Americas,2420,6259.86,53,137.1,0,29,75.01,2,5.17,0,Community transmission
New Zealand,Western Pacific,2409,49.96,23,0.48,1,26,0.54,0,0,0,Sporadic cases
Sao Tome and Principe,Africa,2383,1087.34,14,6.39,0,37,16.88,0,0,0,Community transmission
Bhutan,South-East Asia,2258,292.64,136,17.63,6,1,0.13,0,0,0,Clusters of cases
Saint Vincent and the Grenadines,Americas,2240,2019.11,13,11.72,0,12,10.82,0,0,0,Community transmission
Mauritius,Africa,2131,167.56,218,17.14,53,18,1.42,0,0,0,Community transmission
Isle of Man,Europe,1654,1945.15,40,47.04,4,29,34.1,0,0,0,No cases
Bonaire,Americas,1626,7774.32,3,14.34,0,17,81.28,0,0,0,Community transmission
Antigua and Barbuda,Americas,1265,1291.75,1,1.02,0,42,42.89,0,0,0,Clusters of cases
Saint Barthélemy,Americas,1046,10581.69,3,30.35,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,851,1320.03,13,20.17,1,17,26.37,0,0,0,Community transmission
Faroe Islands,Europe,817,1671.95,39,79.81,14,1,2.05,0,0,0,Sporadic cases
British Virgin Islands,Americas,793,2622.61,443,1465.09,0,1,3.31,0,0,0,Community transmission
Other,Other,764,,0,,0,13,,0,,0,Not applicable
Cayman Islands,Americas,615,935.79,1,1.52,0,2,3.04,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,519,975.71,73,137.24,2,3,5.64,0,0,0,Community transmission
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,266,60.8,5,1.14,0,3,0.69,0,0,0,Sporadic cases
Dominica,Americas,197,273.65,3,4.17,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,185,321.42,2,3.47,1,2,3.47,0,0,0,Pending
Grenada,Americas,162,143.97,0,0,0,1,0.89,0,0,0,Sporadic cases
New Caledonia,Western Pacific,129,45.18,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,111,739.9,2,13.33,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,60,1722.65,0,0,0,0,0,0,0,0,No cases
Greenland,Europe,51,89.83,1,1.76,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,26,448.66,0,0,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,No cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0,No cases
Saba,Americas,7,362.13,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
